,index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Chieftain,jattwell0,409,Bahrain,85
1,1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Raider,scarnson1,12,Denmark,6
2,2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Assassin,nboobyer2,320,Italy,86
3,3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Chieftain,tchippindale3,171,Peru,28
4,4,Netta,,nmateescu4@flavors.me,female,arctic armour,Necromancer,ngeorgins4,446,Djibouti,28
5,5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Deadeye,aformoy5,215,Saint Barthelemy,27
6,6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Inquisitor,gcapponeer6,157,East Timor,41
7,7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Slayer,bmargarson7,439,Italy,37
8,8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Necromancer,akissock8,233,Comoros,6
9,9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Necromancer,pheeron9,16,Mexico,2
10,10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Trickster,sminifiea,354,Serbia,23
11,11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Hierophant,lfochsb,163,Chile,37
12,12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Saboteur,gdradeyc,423,Sudan,27
13,13,Ivy,,igregrd@google.es,female,barrage,Assassin,ipimlockd,310,Ukraine,78
14,14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Necromancer,hrowlsone,370,Armenia,27
15,15,Northrup,,nskitralf@ibm.com,female,animate weapon,Ascendant,nhabardf,301,Palestinian Territory,86
16,16,Cleo,,clucianog@dot.gov,female,arctic armour,Champion,ceasmang,48,Estonia,57
17,17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Hierophant,sboffeyh,315,Russia,50
18,18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Slayer,pbuckei,385,Laos,21
19,19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Inquisitor,kwevellj,323,South Sudan,67
20,20,Tarrance,Rait,traitk@ehow.com,female,barrage,Deadeye,traitk,286,Kyrgyzstan,96
21,21,Antone,,adeluzel@mediafire.com,female,arctic armour,Raider,agoulterl,78,Republic of the Congo,12
22,22,,Tidey,rtideym@oaic.gov.au,female,barrage,Champion,ktideym,60,Azerbaijan,18
23,23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Trickster,selkingtonn,148,Nicaragua,83
24,24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Pathfinder,salveno,384,Eritrea,53
25,25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Inquisitor,mkennairdp,264,Chad,71
26,26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Elementalist,imetheringhamq,434,New Zealand,29
27,27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Champion,kbezemerr,44,Venezuela,57
28,28,,Kearns,jkearnss@amazon.com,female,barrage,Assassin,skearnss,59,Sweden,14
29,29,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,Raider,hbateript,347,Kuwait,52
30,30,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,Raider,dqusklayu,103,Somalia,98
31,31,Jeanna,,jwhearv@163.com,female,barrage,Juggernaut,jbainesv,228,Tajikistan,28
32,32,Rosamund,Matelaitis,rmatelaitisw@webeden.co.uk,female,animate weapon,Inquisitor,rmatelaitisw,322,Mozambique,40
33,33,Celia,Fellenor,cfellenorx@nps.gov,female,barrage,Assassin,cfellenorx,133,Republic of the Congo,9
34,34,Dacey,,dcassiey@ihg.com,female,barrage,Pathfinder,dbrienty,333,Benin,30
35,35,Eben,,ecavanz@t.co,female,arctic armour,Deadeye,evanderhoevenz,390,Sudan,25
36,36,Mordy,Shelly,mshelly10@wufoo.com,female,animate weapon,Saboteur,mshelly10,60,Sudan,67
37,37,Brook,Severwright,bseverwright11@constantcontact.com,female,arctic armour,Berserker,bseverwright11,214,Taiwan,62
38,38,Jacquette,Pettet,jpettet12@shinystat.com,female,arctic armour,Occultist,jpettet12,416,Madagascar,93
39,39,Roberto,,rwhickman13@cornell.edu,female,barrage,Champion,rmcmanaman13,124,Dominican Republic,77
40,40,Mathilda,Scintsbury,mscintsbury14@shutterfly.com,female,animate weapon,Assassin,mscintsbury14,429,Namibia,25
41,41,Bancroft,,bball15@ihg.com,female,arctic armour,Pathfinder,bmarrington15,362,Vietnam,76
42,42,Bengt,Shory,bshory16@apple.com,female,barrage,Necromancer,bshory16,173,Laos,18
43,43,Laina,,lscoyne17@independent.co.uk,female,barrage,Trickster,lennew17,364,Democratic Republic of the Congo,64
44,44,,Citrine,jcitrine18@usnews.com,female,animate weapon,Champion,jcitrine18,54,Vietnam,96
45,45,,Kenforth,tkenforth19@printfriendly.com,female,arctic armour,Juggernaut,kkenforth19,312,Guam,46
46,46,Brigid,,bhardiman1a@wired.com,female,animate weapon,Elementalist,bguisot1a,395,Indonesia,36
47,47,Gusty,Jerger,gjerger1b@toplist.cz,female,barrage,Trickster,gjerger1b,335,Iraq,89
48,48,,Nenci,rnenci1c@cisco.com,female,barrage,Deadeye,jnenci1c,184,Greece,96
49,49,,Pennycook,zpennycook1d@linkedin.com,female,barrage,Saboteur,ppennycook1d,111,Yemen,47
50,50,Niel,,ngorelli1e@digg.com,female,arctic armour,Pathfinder,nsouten1e,362,Uganda,87
51,51,Buddy,Padwick,bpadwick1f@baidu.com,female,barrage,Hierophant,bpadwick1f,30,Belize,81
52,52,Jamison,Itzkin,jitzkin1g@tinypic.com,female,barrage,Occultist,jitzkin1g,283,Latvia,38
53,53,Cathe,,ctoomer1h@networkadvertising.org,female,animate weapon,Berserker,cbusek1h,413,Hungary,67
54,54,,,vwitter1i@163.com,female,barrage,Ascendant,dbeatty1i,99,Namibia,55
55,55,Christabella,Kem,ckem1j@aol.com,female,barrage,Elementalist,ckem1j,365,Eritrea,24
56,56,Pam,Cavolini,pcavolini1k@geocities.com,female,animate weapon,Inquisitor,pcavolini1k,90,Israel,72
57,57,Elaine,,ebreens1l@ucoz.ru,female,barrage,Slayer,esage1l,397,Sweden,81
58,58,Pen,Grolle,pgrolle1m@tripadvisor.com,female,barrage,Saboteur,pgrolle1m,46,Ghana,80
59,59,Cherilyn,Scutcheon,cscutcheon1n@comsenz.com,female,barrage,Juggernaut,cscutcheon1n,186,Moldova,61
