,index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Pathfinder,jattwell0,409,Austria,44
1,1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Deadeye,scarnson1,12,Colombia,32
2,2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Deadeye,nboobyer2,320,Niger,3
3,3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Saboteur,tchippindale3,171,China,80
4,4,Netta,,nmateescu4@flavors.me,female,arctic armour,Inquisitor,ngeorgins4,446,Marshall Islands,72
5,5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Juggernaut,aformoy5,215,Sierra Leone,39
6,6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Pathfinder,gcapponeer6,157,South Georgia and the South Sandwich Islands,95
7,7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Guardian,bmargarson7,439,Nicaragua,89
8,8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Slayer,akissock8,233,Tajikistan,63
9,9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Trickster,pheeron9,16,Djibouti,72
10,10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Champion,sminifiea,354,Russia,45
11,11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Gladiator,lfochsb,163,Guam,77
12,12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Hierophant,gdradeyc,423,Kenya,49
13,13,Ivy,,igregrd@google.es,female,barrage,Ascendant,ipimlockd,310,Haiti,64
14,14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Guardian,hrowlsone,370,Greece,59
15,15,Northrup,,nskitralf@ibm.com,female,animate weapon,Gladiator,nhabardf,301,North Korea,91
16,16,Cleo,,clucianog@dot.gov,female,arctic armour,Juggernaut,ceasmang,48,Vietnam,98
17,17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Slayer,sboffeyh,315,Bhutan,13
18,18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Chieftain,pbuckei,385,Thailand,93
19,19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Gladiator,kwevellj,323,Canada,13
20,20,Tarrance,Rait,traitk@ehow.com,female,barrage,Hierophant,traitk,286,Haiti,98
21,21,Antone,,adeluzel@mediafire.com,female,arctic armour,Juggernaut,agoulterl,78,Finland,60
22,22,,Tidey,rtideym@oaic.gov.au,female,barrage,Chieftain,ktideym,60,Zimbabwe,40
23,23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Saboteur,selkingtonn,148,Moldova,22
24,24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Inquisitor,salveno,384,Venezuela,57
25,25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Pathfinder,mkennairdp,264,Myanmar,5
26,26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Necromancer,imetheringhamq,434,Venezuela,45
27,27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Guardian,kbezemerr,44,Eritrea,5
28,28,,Kearns,jkearnss@amazon.com,female,barrage,Elementalist,skearnss,59,Pakistan,11
29,29,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,Inquisitor,hbateript,347,Denmark,5
30,30,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,Slayer,dqusklayu,103,Cyprus,37
31,31,Jeanna,,jwhearv@163.com,female,barrage,Chieftain,jbainesv,228,Mexico,87
