index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Pathfinder,jattwell0,409,Netherlands,44
1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Deadeye,scarnson1,12,Vietnam,86
2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Necromancer,nboobyer2,320,Azerbaijan,41
3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Assassin,tchippindale3,171,Paraguay,16
4,Netta,,nmateescu4@flavors.me,female,arctic armour,Elementalist,ngeorgins4,446,Morocco,93
5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Juggernaut,aformoy5,215,Czech Republic,39
6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Chieftain,gcapponeer6,157,Indonesia,96
7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Assassin,bmargarson7,439,Senegal,67
8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Necromancer,akissock8,233,Kyrgyzstan,38
9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Trickster,pheeron9,16,Dominican Republic,14
10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Assassin,sminifiea,354,Myanmar,12
11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Gladiator,lfochsb,163,Lithuania,53
12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Assassin,gdradeyc,423,Uruguay,99
13,Ivy,,igregrd@google.es,female,barrage,Guardian,ipimlockd,310,Yemen,64
14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Hierophant,hrowlsone,370,Svalbard and Jan Mayen,87
15,Northrup,,nskitralf@ibm.com,female,animate weapon,Slayer,nhabardf,301,Kenya,94
16,Cleo,,clucianog@dot.gov,female,arctic armour,Ascendant,ceasmang,48,Tanzania,25
17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Raider,sboffeyh,315,Philippines,30
18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Inquisitor,pbuckei,385,Laos,56
19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Raider,kwevellj,323,Poland,36
20,Tarrance,Rait,traitk@ehow.com,female,barrage,Deadeye,traitk,286,Djibouti,72
21,Antone,,adeluzel@mediafire.com,female,arctic armour,Raider,agoulterl,78,Colombia,85
22,,Tidey,rtideym@oaic.gov.au,female,barrage,Occultist,ktideym,60,Azerbaijan,72
