index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Berserker,jattwell0,409,Japan,10
1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Chieftain,scarnson1,12,Mexico,29
2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Juggernaut,nboobyer2,320,Guatemala,47
3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Juggernaut,tchippindale3,171,Kosovo,47
4,Netta,,nmateescu4@flavors.me,female,arctic armour,Gladiator,ngeorgins4,446,Finland,95
5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Inquisitor,aformoy5,215,Israel,80
6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Berserker,gcapponeer6,157,South Africa,76
7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Raider,bmargarson7,439,Morocco,36
8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Chieftain,akissock8,233,Sweden,75
9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Saboteur,pheeron9,16,Moldova,96
10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Assassin,sminifiea,354,Mauritania,80
11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Gladiator,lfochsb,163,Pakistan,48
12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Berserker,gdradeyc,423,South Sudan,70
13,Ivy,,igregrd@google.es,female,barrage,Inquisitor,ipimlockd,310,Czech Republic,8
14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Necromancer,hrowlsone,370,Moldova,16
15,Northrup,,nskitralf@ibm.com,female,animate weapon,Slayer,nhabardf,301,Sierra Leone,87
16,Cleo,,clucianog@dot.gov,female,arctic armour,Hierophant,ceasmang,48,Poland,15
17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Trickster,sboffeyh,315,Zambia,15
18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Berserker,pbuckei,385,Guatemala,2
19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Champion,kwevellj,323,Laos,18
20,Tarrance,Rait,traitk@ehow.com,female,barrage,Raider,traitk,286,Ghana,92
21,Antone,,adeluzel@mediafire.com,female,arctic armour,Juggernaut,agoulterl,78,El Salvador,50
22,,Tidey,rtideym@oaic.gov.au,female,barrage,Ascendant,ktideym,60,Tajikistan,68
23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Gladiator,selkingtonn,148,Czech Republic,91
24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Slayer,salveno,384,Chile,92
25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Assassin,mkennairdp,264,Micronesia,56
26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Deadeye,imetheringhamq,434,Kazakhstan,23
27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Champion,kbezemerr,44,Moldova,34
28,,Kearns,jkearnss@amazon.com,female,barrage,Hierophant,skearnss,59,Argentina,22
29,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,Hierophant,hbateript,347,Lithuania,25
30,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,Assassin,dqusklayu,103,Tajikistan,93
31,Jeanna,,jwhearv@163.com,female,barrage,Hierophant,jbainesv,228,Denmark,50
32,Rosamund,Matelaitis,rmatelaitisw@webeden.co.uk,female,animate weapon,Elementalist,rmatelaitisw,322,Egypt,61
33,Celia,Fellenor,cfellenorx@nps.gov,female,barrage,Gladiator,cfellenorx,133,Belarus,39
34,Dacey,,dcassiey@ihg.com,female,barrage,Chieftain,dbrienty,333,South Africa,3
35,Eben,,ecavanz@t.co,female,arctic armour,Occultist,evanderhoevenz,390,Israel,79
36,Mordy,Shelly,mshelly10@wufoo.com,female,animate weapon,Deadeye,mshelly10,60,Jordan,82
37,Brook,Severwright,bseverwright11@constantcontact.com,female,arctic armour,Guardian,bseverwright11,214,South Sudan,60
38,Jacquette,Pettet,jpettet12@shinystat.com,female,arctic armour,Chieftain,jpettet12,416,Uganda,76
39,Roberto,,rwhickman13@cornell.edu,female,barrage,Guardian,rmcmanaman13,124,Uruguay,13
40,Mathilda,Scintsbury,mscintsbury14@shutterfly.com,female,animate weapon,Ascendant,mscintsbury14,429,Japan,91
41,Bancroft,,bball15@ihg.com,female,arctic armour,Raider,bmarrington15,362,Netherlands,75
42,Bengt,Shory,bshory16@apple.com,female,barrage,Elementalist,bshory16,173,Malta,92
43,Laina,,lscoyne17@independent.co.uk,female,barrage,Pathfinder,lennew17,364,Croatia,76
44,,Citrine,jcitrine18@usnews.com,female,animate weapon,Chieftain,jcitrine18,54,Afghanistan,47
45,,Kenforth,tkenforth19@printfriendly.com,female,arctic armour,Slayer,kkenforth19,312,Croatia,61
46,Brigid,,bhardiman1a@wired.com,female,animate weapon,Slayer,bguisot1a,395,Bolivia,2
47,Gusty,Jerger,gjerger1b@toplist.cz,female,barrage,Deadeye,gjerger1b,335,Hungary,78
48,,Nenci,rnenci1c@cisco.com,female,barrage,Slayer,jnenci1c,184,Bulgaria,85
49,,Pennycook,zpennycook1d@linkedin.com,female,barrage,Inquisitor,ppennycook1d,111,Ethiopia,72
50,Niel,,ngorelli1e@digg.com,female,arctic armour,Chieftain,nsouten1e,362,Japan,89
51,Buddy,Padwick,bpadwick1f@baidu.com,female,barrage,Deadeye,bpadwick1f,30,Norway,1
52,Jamison,Itzkin,jitzkin1g@tinypic.com,female,barrage,Gladiator,jitzkin1g,283,China,16
53,Cathe,,ctoomer1h@networkadvertising.org,female,animate weapon,Occultist,cbusek1h,413,Belize,92
54,,,vwitter1i@163.com,female,barrage,Assassin,dbeatty1i,99,Sri Lanka,31
55,Christabella,Kem,ckem1j@aol.com,female,barrage,Assassin,ckem1j,365,Republic of the Congo,17
56,Pam,Cavolini,pcavolini1k@geocities.com,female,animate weapon,Berserker,pcavolini1k,90,Germany,14
57,Elaine,,ebreens1l@ucoz.ru,female,barrage,Necromancer,esage1l,397,Austria,86
58,Pen,Grolle,pgrolle1m@tripadvisor.com,female,barrage,Assassin,pgrolle1m,46,Slovenia,85
59,Cherilyn,Scutcheon,cscutcheon1n@comsenz.com,female,barrage,Berserker,cscutcheon1n,186,Latvia,41
60,Cahra,Rawes,crawes1o@oaic.gov.au,female,arctic armour,Slayer,crawes1o,390,Mauritania,22
61,Port,Caulcutt,pcaulcutt1p@cornell.edu,female,barrage,Saboteur,pcaulcutt1p,144,Chile,9
62,Fifine,Pinchen,fpinchen1q@wikipedia.org,female,barrage,Gladiator,fpinchen1q,441,Macedonia,13
63,Geoff,,gcogger1r@nytimes.com,female,animate weapon,Juggernaut,gcamier1r,397,Argentina,97
64,Jarrad,Meechan,jmeechan1s@elegantthemes.com,female,arctic armour,Slayer,jmeechan1s,310,Sudan,65
65,Zedekiah,,zferraresi1t@storify.com,female,animate weapon,Juggernaut,ztomson1t,54,Czech Republic,9
66,Hester,Verrill,hverrill1u@tmall.com,female,barrage,Berserker,hverrill1u,51,Kenya,24
67,Gareth,Spadaro,gspadaro1v@livejournal.com,female,animate weapon,Inquisitor,gspadaro1v,252,Chad,24
