,index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Guardian,jattwell0,409,Thailand,26
1,1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Saboteur,scarnson1,12,Bhutan,53
2,2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Assassin,nboobyer2,320,Latvia,88
3,3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Berserker,tchippindale3,171,Tajikistan,89
4,4,Netta,,nmateescu4@flavors.me,female,arctic armour,Champion,ngeorgins4,446,Canada,95
5,5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Trickster,aformoy5,215,Cameroon,32
6,6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Chieftain,gcapponeer6,157,North Korea,89
7,7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Slayer,bmargarson7,439,Uruguay,92
8,8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Hierophant,akissock8,233,Kosovo,91
9,9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Berserker,pheeron9,16,Chad,69
10,10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Trickster,sminifiea,354,Zimbabwe,7
11,11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Trickster,lfochsb,163,Denmark,63
12,12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Saboteur,gdradeyc,423,Jordan,16
13,13,Ivy,,igregrd@google.es,female,barrage,Ascendant,ipimlockd,310,Azerbaijan,43
14,14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Raider,hrowlsone,370,Pakistan,35
15,15,Northrup,,nskitralf@ibm.com,female,animate weapon,Assassin,nhabardf,301,Paraguay,60
16,16,Cleo,,clucianog@dot.gov,female,arctic armour,Occultist,ceasmang,48,Ethiopia,40
17,17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Ascendant,sboffeyh,315,Estonia,28
18,18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Champion,pbuckei,385,Bolivia,11
19,19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Assassin,kwevellj,323,Germany,20
20,20,Tarrance,Rait,traitk@ehow.com,female,barrage,Deadeye,traitk,286,Ecuador,86
21,21,Antone,,adeluzel@mediafire.com,female,arctic armour,Slayer,agoulterl,78,Laos,31
22,22,,Tidey,rtideym@oaic.gov.au,female,barrage,Chieftain,ktideym,60,Somalia,18
23,23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Deadeye,selkingtonn,148,Latvia,62
24,24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Slayer,salveno,384,United States,50
25,25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Elementalist,mkennairdp,264,Nicaragua,95
26,26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Elementalist,imetheringhamq,434,Democratic Republic of the Congo,49
27,27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Slayer,kbezemerr,44,Austria,1
28,28,,Kearns,jkearnss@amazon.com,female,barrage,Champion,skearnss,59,Benin,45
29,29,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,Elementalist,hbateript,347,South Georgia and the South Sandwich Islands,49
30,30,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,Slayer,dqusklayu,103,Morocco,16
31,31,Jeanna,,jwhearv@163.com,female,barrage,Berserker,jbainesv,228,Bahrain,4
