,index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Saboteur,jattwell0,409,Bosnia and Herzegovina,24
1,1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Gladiator,scarnson1,12,Ethiopia,59
2,2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Hierophant,nboobyer2,320,Dominican Republic,94
3,3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Assassin,tchippindale3,171,Nicaragua,9
4,4,Netta,,nmateescu4@flavors.me,female,arctic armour,Trickster,ngeorgins4,446,Kuwait,89
5,5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Pathfinder,aformoy5,215,Venezuela,74
6,6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Occultist,gcapponeer6,157,France,39
7,7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Hierophant,bmargarson7,439,Denmark,94
8,8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Necromancer,akissock8,233,Peru,83
9,9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Occultist,pheeron9,16,Kyrgyzstan,78
10,10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Deadeye,sminifiea,354,Spain,68
11,11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Guardian,lfochsb,163,Armenia,8
12,12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Guardian,gdradeyc,423,Sweden,31
13,13,Ivy,,igregrd@google.es,female,barrage,Chieftain,ipimlockd,310,Iraq,34
14,14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Berserker,hrowlsone,370,Somalia,78
15,15,Northrup,,nskitralf@ibm.com,female,animate weapon,Chieftain,nhabardf,301,Djibouti,76
16,16,Cleo,,clucianog@dot.gov,female,arctic armour,Trickster,ceasmang,48,Luxembourg,66
17,17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Hierophant,sboffeyh,315,France,24
18,18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Guardian,pbuckei,385,Dominican Republic,69
19,19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Berserker,kwevellj,323,Malta,83
20,20,Tarrance,Rait,traitk@ehow.com,female,barrage,Slayer,traitk,286,Greece,8
21,21,Antone,,adeluzel@mediafire.com,female,arctic armour,Chieftain,agoulterl,78,Dominican Republic,6
22,22,,Tidey,rtideym@oaic.gov.au,female,barrage,Trickster,ktideym,60,Spain,62
23,23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Berserker,selkingtonn,148,Pakistan,16
24,24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Occultist,salveno,384,Zambia,76
25,25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Pathfinder,mkennairdp,264,Yemen,60
26,26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Guardian,imetheringhamq,434,Austria,38
27,27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Necromancer,kbezemerr,44,Jordan,87
28,28,,Kearns,jkearnss@amazon.com,female,barrage,Deadeye,skearnss,59,Eritrea,22
29,29,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,Champion,hbateript,347,Iran,61
30,30,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,Slayer,dqusklayu,103,Guatemala,53
31,31,Jeanna,,jwhearv@163.com,female,barrage,Raider,jbainesv,228,Portugal,90
32,32,Rosamund,Matelaitis,rmatelaitisw@webeden.co.uk,female,animate weapon,Necromancer,rmatelaitisw,322,Mauritania,54
33,33,Celia,Fellenor,cfellenorx@nps.gov,female,barrage,Saboteur,cfellenorx,133,Taiwan,52
34,34,Dacey,,dcassiey@ihg.com,female,barrage,Guardian,dbrienty,333,Azerbaijan,27
35,35,Eben,,ecavanz@t.co,female,arctic armour,Guardian,evanderhoevenz,390,Sudan,66
36,36,Mordy,Shelly,mshelly10@wufoo.com,female,animate weapon,Pathfinder,mshelly10,60,Argentina,11
37,37,Brook,Severwright,bseverwright11@constantcontact.com,female,arctic armour,Assassin,bseverwright11,214,Sweden,81
38,38,Jacquette,Pettet,jpettet12@shinystat.com,female,arctic armour,Deadeye,jpettet12,416,Cyprus,62
39,39,Roberto,,rwhickman13@cornell.edu,female,barrage,Berserker,rmcmanaman13,124,Nepal,47
40,40,Mathilda,Scintsbury,mscintsbury14@shutterfly.com,female,animate weapon,Slayer,mscintsbury14,429,Eritrea,88
