,index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Champion,jattwell0,409,Netherlands,56
1,1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Gladiator,scarnson1,12,Niger,25
2,2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Pathfinder,nboobyer2,320,Somalia,27
3,3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Necromancer,tchippindale3,171,Nicaragua,55
4,4,Netta,,nmateescu4@flavors.me,female,arctic armour,Guardian,ngeorgins4,446,United States,26
5,5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Juggernaut,aformoy5,215,Venezuela,68
6,6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Champion,gcapponeer6,157,Malta,54
7,7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Deadeye,bmargarson7,439,Bahrain,12
8,8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Pathfinder,akissock8,233,Sri Lanka,44
9,9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Necromancer,pheeron9,16,Jordan,86
10,10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Champion,sminifiea,354,Malta,46
11,11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Pathfinder,lfochsb,163,Serbia,40
12,12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Juggernaut,gdradeyc,423,Comoros,39
13,13,Ivy,,igregrd@google.es,female,barrage,Juggernaut,ipimlockd,310,Luxembourg,39
14,14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Guardian,hrowlsone,370,Bhutan,97
15,15,Northrup,,nskitralf@ibm.com,female,animate weapon,Ascendant,nhabardf,301,Indonesia,3
16,16,Cleo,,clucianog@dot.gov,female,arctic armour,Deadeye,ceasmang,48,Marshall Islands,85
17,17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Guardian,sboffeyh,315,Latvia,75
18,18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Hierophant,pbuckei,385,New Zealand,73
19,19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Champion,kwevellj,323,Iran,13
20,20,Tarrance,Rait,traitk@ehow.com,female,barrage,Gladiator,traitk,286,Luxembourg,31
21,21,Antone,,adeluzel@mediafire.com,female,arctic armour,Occultist,agoulterl,78,Bulgaria,85
22,22,,Tidey,rtideym@oaic.gov.au,female,barrage,Elementalist,ktideym,60,Israel,1
23,23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Gladiator,selkingtonn,148,Malta,53
24,24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Assassin,salveno,384,Norway,45
25,25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Juggernaut,mkennairdp,264,China,93
26,26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Raider,imetheringhamq,434,Japan,82
27,27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Pathfinder,kbezemerr,44,Latvia,24
