,index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Assassin,jattwell0,409,Albania,17
1,1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Slayer,scarnson1,12,Brazil,18
2,2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Chieftain,nboobyer2,320,Afghanistan,64
3,3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Champion,tchippindale3,171,Dominican Republic,4
4,4,Netta,,nmateescu4@flavors.me,female,arctic armour,Gladiator,ngeorgins4,446,Bolivia,84
5,5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Assassin,aformoy5,215,Portugal,26
6,6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Guardian,gcapponeer6,157,Nigeria,88
7,7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Trickster,bmargarson7,439,Nigeria,4
8,8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Slayer,akissock8,233,Hungary,74
9,9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Berserker,pheeron9,16,Indonesia,32
10,10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Inquisitor,sminifiea,354,Nicaragua,11
11,11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Deadeye,lfochsb,163,Svalbard and Jan Mayen,7
12,12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Elementalist,gdradeyc,423,Japan,31
13,13,Ivy,,igregrd@google.es,female,barrage,Saboteur,ipimlockd,310,Honduras,38
14,14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Raider,hrowlsone,370,Madagascar,77
15,15,Northrup,,nskitralf@ibm.com,female,animate weapon,Juggernaut,nhabardf,301,Honduras,92
16,16,Cleo,,clucianog@dot.gov,female,arctic armour,Necromancer,ceasmang,48,Serbia,2
17,17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Guardian,sboffeyh,315,Jordan,25
18,18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Elementalist,pbuckei,385,Portugal,95
19,19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Slayer,kwevellj,323,Morocco,59
20,20,Tarrance,Rait,traitk@ehow.com,female,barrage,Trickster,traitk,286,Comoros,50
21,21,Antone,,adeluzel@mediafire.com,female,arctic armour,Gladiator,agoulterl,78,Colombia,79
22,22,,Tidey,rtideym@oaic.gov.au,female,barrage,Berserker,ktideym,60,Uzbekistan,39
23,23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Juggernaut,selkingtonn,148,Somalia,76
24,24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Juggernaut,salveno,384,Netherlands,98
25,25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Chieftain,mkennairdp,264,Philippines,67
26,26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Elementalist,imetheringhamq,434,Uzbekistan,91
27,27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Assassin,kbezemerr,44,Benin,23
28,28,,Kearns,jkearnss@amazon.com,female,barrage,Juggernaut,skearnss,59,Benin,54
29,29,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,Ascendant,hbateript,347,Bolivia,10
30,30,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,Elementalist,dqusklayu,103,Djibouti,35
31,31,Jeanna,,jwhearv@163.com,female,barrage,Guardian,jbainesv,228,Republic of the Congo,4
32,32,Rosamund,Matelaitis,rmatelaitisw@webeden.co.uk,female,animate weapon,Chieftain,rmatelaitisw,322,Afghanistan,77
33,33,Celia,Fellenor,cfellenorx@nps.gov,female,barrage,Raider,cfellenorx,133,Spain,46
34,34,Dacey,,dcassiey@ihg.com,female,barrage,Ascendant,dbrienty,333,Ecuador,18
35,35,Eben,,ecavanz@t.co,female,arctic armour,Gladiator,evanderhoevenz,390,Mozambique,47
36,36,Mordy,Shelly,mshelly10@wufoo.com,female,animate weapon,Champion,mshelly10,60,Micronesia,18
37,37,Brook,Severwright,bseverwright11@constantcontact.com,female,arctic armour,Inquisitor,bseverwright11,214,Czech Republic,84
38,38,Jacquette,Pettet,jpettet12@shinystat.com,female,arctic armour,Juggernaut,jpettet12,416,Peru,63
39,39,Roberto,,rwhickman13@cornell.edu,female,barrage,Occultist,rmcmanaman13,124,Afghanistan,35
40,40,Mathilda,Scintsbury,mscintsbury14@shutterfly.com,female,animate weapon,Chieftain,mscintsbury14,429,Jamaica,96
41,41,Bancroft,,bball15@ihg.com,female,arctic armour,Gladiator,bmarrington15,362,Chad,44
42,42,Bengt,Shory,bshory16@apple.com,female,barrage,Deadeye,bshory16,173,Guatemala,37
