index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Deadeye,jattwell0,409,South Sudan,93
1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Saboteur,scarnson1,12,Sierra Leone,2
2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Inquisitor,nboobyer2,320,Mauritania,16
3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Trickster,tchippindale3,171,Sierra Leone,23
4,Netta,,nmateescu4@flavors.me,female,arctic armour,Guardian,ngeorgins4,446,Mauritania,8
5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Pathfinder,aformoy5,215,Pakistan,14
6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Trickster,gcapponeer6,157,Peru,93
7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Trickster,bmargarson7,439,Germany,10
8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Saboteur,akissock8,233,Vanuatu,21
9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Deadeye,pheeron9,16,Sudan,78
10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Gladiator,sminifiea,354,Bosnia and Herzegovina,21
11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Champion,lfochsb,163,Comoros,81
12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Saboteur,gdradeyc,423,Mozambique,53
13,Ivy,,igregrd@google.es,female,barrage,Saboteur,ipimlockd,310,Ukraine,74
14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Necromancer,hrowlsone,370,Guatemala,73
15,Northrup,,nskitralf@ibm.com,female,animate weapon,Guardian,nhabardf,301,Marshall Islands,47
16,Cleo,,clucianog@dot.gov,female,arctic armour,Gladiator,ceasmang,48,Senegal,38
17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Raider,sboffeyh,315,Mauritania,19
18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Guardian,pbuckei,385,Nigeria,45
19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Saboteur,kwevellj,323,Luxembourg,5
20,Tarrance,Rait,traitk@ehow.com,female,barrage,Juggernaut,traitk,286,Comoros,27
21,Antone,,adeluzel@mediafire.com,female,arctic armour,Guardian,agoulterl,78,Kuwait,83
22,,Tidey,rtideym@oaic.gov.au,female,barrage,Necromancer,ktideym,60,Nigeria,46
23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Occultist,selkingtonn,148,Israel,15
24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Chieftain,salveno,384,Guatemala,16
25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Berserker,mkennairdp,264,Spain,2
26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Saboteur,imetheringhamq,434,Jamaica,62
27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Trickster,kbezemerr,44,Croatia,24
28,,Kearns,jkearnss@amazon.com,female,barrage,Occultist,skearnss,59,El Salvador,20
29,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,Slayer,hbateript,347,Jordan,99
30,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,Gladiator,dqusklayu,103,Eritrea,3
31,Jeanna,,jwhearv@163.com,female,barrage,Trickster,jbainesv,228,Sierra Leone,12
32,Rosamund,Matelaitis,rmatelaitisw@webeden.co.uk,female,animate weapon,Assassin,rmatelaitisw,322,Malta,27
33,Celia,Fellenor,cfellenorx@nps.gov,female,barrage,Inquisitor,cfellenorx,133,Comoros,95
34,Dacey,,dcassiey@ihg.com,female,barrage,Deadeye,dbrienty,333,Guatemala,44
35,Eben,,ecavanz@t.co,female,arctic armour,Guardian,evanderhoevenz,390,South Korea,52
36,Mordy,Shelly,mshelly10@wufoo.com,female,animate weapon,Occultist,mshelly10,60,Somalia,44
37,Brook,Severwright,bseverwright11@constantcontact.com,female,arctic armour,Necromancer,bseverwright11,214,Philippines,98
38,Jacquette,Pettet,jpettet12@shinystat.com,female,arctic armour,Saboteur,jpettet12,416,Syria,93
39,Roberto,,rwhickman13@cornell.edu,female,barrage,Hierophant,rmcmanaman13,124,Uganda,47
40,Mathilda,Scintsbury,mscintsbury14@shutterfly.com,female,animate weapon,Saboteur,mscintsbury14,429,East Timor,84
41,Bancroft,,bball15@ihg.com,female,arctic armour,Champion,bmarrington15,362,Ethiopia,20
42,Bengt,Shory,bshory16@apple.com,female,barrage,Gladiator,bshory16,173,Bhutan,85
43,Laina,,lscoyne17@independent.co.uk,female,barrage,Slayer,lennew17,364,Palestinian Territory,38
44,,Citrine,jcitrine18@usnews.com,female,animate weapon,Champion,jcitrine18,54,Russia,53
45,,Kenforth,tkenforth19@printfriendly.com,female,arctic armour,Necromancer,kkenforth19,312,Croatia,86
46,Brigid,,bhardiman1a@wired.com,female,animate weapon,Trickster,bguisot1a,395,Germany,61
