index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Hierophant,jattwell0,409,Benin,57
1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Champion,scarnson1,12,Bulgaria,24
2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Occultist,nboobyer2,320,Eritrea,20
3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Saboteur,tchippindale3,171,Peru,8
4,Netta,,nmateescu4@flavors.me,female,arctic armour,Slayer,ngeorgins4,446,Croatia,93
5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Hierophant,aformoy5,215,Vanuatu,70
6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Guardian,gcapponeer6,157,Mexico,27
7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Gladiator,bmargarson7,439,Bangladesh,58
8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Inquisitor,akissock8,233,Senegal,74
9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Occultist,pheeron9,16,Myanmar,85
10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Juggernaut,sminifiea,354,Ireland,8
11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Guardian,lfochsb,163,Kosovo,58
12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Berserker,gdradeyc,423,Netherlands,4
13,Ivy,,igregrd@google.es,female,barrage,Chieftain,ipimlockd,310,Lithuania,50
14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Slayer,hrowlsone,370,Malaysia,89
15,Northrup,,nskitralf@ibm.com,female,animate weapon,Raider,nhabardf,301,Thailand,92
16,Cleo,,clucianog@dot.gov,female,arctic armour,Juggernaut,ceasmang,48,Belarus,69
17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Ascendant,sboffeyh,315,Dominican Republic,38
18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Deadeye,pbuckei,385,China,22
19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Slayer,kwevellj,323,Malta,77
20,Tarrance,Rait,traitk@ehow.com,female,barrage,Pathfinder,traitk,286,Micronesia,26
21,Antone,,adeluzel@mediafire.com,female,arctic armour,Slayer,agoulterl,78,Pakistan,42
22,,Tidey,rtideym@oaic.gov.au,female,barrage,Assassin,ktideym,60,Kazakhstan,21
23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Chieftain,selkingtonn,148,Portugal,33
24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Inquisitor,salveno,384,Canada,60
25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Elementalist,mkennairdp,264,United States,54
26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Guardian,imetheringhamq,434,Norway,17
27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Occultist,kbezemerr,44,Mauritania,70
28,,Kearns,jkearnss@amazon.com,female,barrage,Pathfinder,skearnss,59,Latvia,19
29,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,Champion,hbateript,347,Kazakhstan,95
30,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,Chieftain,dqusklayu,103,Benin,58
31,Jeanna,,jwhearv@163.com,female,barrage,Hierophant,jbainesv,228,Sweden,37
32,Rosamund,Matelaitis,rmatelaitisw@webeden.co.uk,female,animate weapon,Raider,rmatelaitisw,322,Syria,62
33,Celia,Fellenor,cfellenorx@nps.gov,female,barrage,Guardian,cfellenorx,133,Paraguay,22
34,Dacey,,dcassiey@ihg.com,female,barrage,Slayer,dbrienty,333,Ethiopia,88
35,Eben,,ecavanz@t.co,female,arctic armour,Elementalist,evanderhoevenz,390,Egypt,13
36,Mordy,Shelly,mshelly10@wufoo.com,female,animate weapon,Hierophant,mshelly10,60,Poland,89
37,Brook,Severwright,bseverwright11@constantcontact.com,female,arctic armour,Necromancer,bseverwright11,214,Latvia,15
38,Jacquette,Pettet,jpettet12@shinystat.com,female,arctic armour,Slayer,jpettet12,416,Sweden,47
39,Roberto,,rwhickman13@cornell.edu,female,barrage,Occultist,rmcmanaman13,124,Indonesia,24
40,Mathilda,Scintsbury,mscintsbury14@shutterfly.com,female,animate weapon,Slayer,mscintsbury14,429,Canada,13
41,Bancroft,,bball15@ihg.com,female,arctic armour,Pathfinder,bmarrington15,362,Nepal,86
42,Bengt,Shory,bshory16@apple.com,female,barrage,Pathfinder,bshory16,173,Cyprus,50
43,Laina,,lscoyne17@independent.co.uk,female,barrage,Ascendant,lennew17,364,Poland,74
44,,Citrine,jcitrine18@usnews.com,female,animate weapon,Gladiator,jcitrine18,54,Iraq,89
45,,Kenforth,tkenforth19@printfriendly.com,female,arctic armour,Slayer,kkenforth19,312,Sweden,96
46,Brigid,,bhardiman1a@wired.com,female,animate weapon,Elementalist,bguisot1a,395,Saint Barthelemy,12
47,Gusty,Jerger,gjerger1b@toplist.cz,female,barrage,Guardian,gjerger1b,335,Chile,59
48,,Nenci,rnenci1c@cisco.com,female,barrage,Hierophant,jnenci1c,184,Guatemala,88
49,,Pennycook,zpennycook1d@linkedin.com,female,barrage,Trickster,ppennycook1d,111,Iraq,59
50,Niel,,ngorelli1e@digg.com,female,arctic armour,Occultist,nsouten1e,362,Ukraine,12
51,Buddy,Padwick,bpadwick1f@baidu.com,female,barrage,Pathfinder,bpadwick1f,30,Bulgaria,56
52,Jamison,Itzkin,jitzkin1g@tinypic.com,female,barrage,Occultist,jitzkin1g,283,Saint Barthelemy,89
53,Cathe,,ctoomer1h@networkadvertising.org,female,animate weapon,Necromancer,cbusek1h,413,Luxembourg,36
54,,,vwitter1i@163.com,female,barrage,Saboteur,dbeatty1i,99,Taiwan,16
55,Christabella,Kem,ckem1j@aol.com,female,barrage,Guardian,ckem1j,365,Iraq,96
56,Pam,Cavolini,pcavolini1k@geocities.com,female,animate weapon,Ascendant,pcavolini1k,90,Honduras,28
57,Elaine,,ebreens1l@ucoz.ru,female,barrage,Gladiator,esage1l,397,Croatia,89
58,Pen,Grolle,pgrolle1m@tripadvisor.com,female,barrage,Hierophant,pgrolle1m,46,China,11
59,Cherilyn,Scutcheon,cscutcheon1n@comsenz.com,female,barrage,Guardian,cscutcheon1n,186,Lithuania,39
60,Cahra,Rawes,crawes1o@oaic.gov.au,female,arctic armour,Hierophant,crawes1o,390,Kazakhstan,71
61,Port,Caulcutt,pcaulcutt1p@cornell.edu,female,barrage,Deadeye,pcaulcutt1p,144,Albania,75
62,Fifine,Pinchen,fpinchen1q@wikipedia.org,female,barrage,Ascendant,fpinchen1q,441,Zimbabwe,53
63,Geoff,,gcogger1r@nytimes.com,female,animate weapon,Inquisitor,gcamier1r,397,New Zealand,8
64,Jarrad,Meechan,jmeechan1s@elegantthemes.com,female,arctic armour,Gladiator,jmeechan1s,310,Syria,8
65,Zedekiah,,zferraresi1t@storify.com,female,animate weapon,Berserker,ztomson1t,54,Luxembourg,94
66,Hester,Verrill,hverrill1u@tmall.com,female,barrage,Necromancer,hverrill1u,51,Dominican Republic,93
67,Gareth,Spadaro,gspadaro1v@livejournal.com,female,animate weapon,Guardian,gspadaro1v,252,Somalia,62
68,Graham,Attwoul,gattwoul1w@topsy.com,female,animate weapon,Trickster,gattwoul1w,273,Peru,53
69,,,vromi1x@sciencedaily.com,female,barrage,Pathfinder,csargint1x,105,South Georgia and the South Sandwich Islands,5
70,Edith,Lyst,elyst1y@opensource.org,female,animate weapon,Slayer,elyst1y,392,Uzbekistan,64
71,Walton,,wramsdell1z@jalbum.net,female,arctic armour,Assassin,wbetts1z,24,Armenia,90
72,Paul,,prootes20@stumbleupon.com,female,animate weapon,Assassin,plysaght20,225,Jamaica,42
73,Ferris,Wroath,fwroath21@pinterest.com,female,animate weapon,Elementalist,fwroath21,284,Belize,13
74,Riane,Farfoot,rfarfoot22@shutterfly.com,female,barrage,Champion,rfarfoot22,32,Vietnam,32
75,Flor,Callander,fcallander23@tiny.cc,female,animate weapon,Occultist,fcallander23,256,Croatia,96
76,Harold,Davidov,hdavidov24@issuu.com,female,barrage,Slayer,hdavidov24,295,Azerbaijan,70
77,Molli,,mhaps25@wp.com,female,barrage,Occultist,mgyves25,118,Hungary,8
78,Aloysius,,ajimmes26@elegantthemes.com,female,animate weapon,Assassin,aokielt26,50,Ecuador,72
79,Scotty,,sfarbrace27@cocolog-nifty.com,female,animate weapon,Trickster,smuino27,164,Yemen,75
80,Janenna,,jstihl28@furl.net,female,animate weapon,Deadeye,jseagar28,264,Ivory Coast,74
81,Gregorio,Bartolic,gbartolic29@howstuffworks.com,female,animate weapon,Deadeye,gbartolic29,423,Comoros,14
82,Sandor,Popov,spopov2a@cmu.edu,female,animate weapon,Necromancer,spopov2a,325,Niger,12
83,Garrik,,gsaunderson2b@seattletimes.com,female,barrage,Deadeye,gelldred2b,297,Jordan,95
84,Padget,Kiledal,pkiledal2c@youtube.com,female,arctic armour,Raider,pkiledal2c,126,Norway,40
85,Evita,Golthorpp,egolthorpp2d@newsvine.com,female,barrage,Chieftain,egolthorpp2d,295,Eritrea,95
86,Yehudi,,ycordero2e@cpanel.net,female,arctic armour,Raider,ybaynes2e,170,Svalbard and Jan Mayen,84
87,Charline,Rickard,crickard2f@nyu.edu,female,animate weapon,Trickster,crickard2f,139,Ecuador,46
88,Gavrielle,,gkersey2g@sina.com.cn,female,barrage,Berserker,gfryd2g,262,Niger,81
89,Rudolfo,Imesen,rimesen2h@paginegialle.it,female,barrage,Hierophant,rimesen2h,253,Ireland,62
