index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level
0,,Attwell,kattwell0@hhs.gov,female,arctic armour,Pathfinder,jattwell0,409,Austria,44
1,Shoshanna,,scorrigan1@pinterest.com,female,barrage,Deadeye,scarnson1,12,Colombia,32
2,Nadya,Boobyer,nboobyer2@yahoo.com,female,arctic armour,Deadeye,nboobyer2,320,Niger,3
3,Tris,Chippindale,tchippindale3@businessinsider.com,female,barrage,Saboteur,tchippindale3,171,China,80
4,Netta,,nmateescu4@flavors.me,female,arctic armour,Inquisitor,ngeorgins4,446,Marshall Islands,72
5,Austin,Formoy,aformoy5@live.com,female,animate weapon,Juggernaut,aformoy5,215,Sierra Leone,39
6,Greta,Capponeer,gcapponeer6@furl.net,female,animate weapon,Pathfinder,gcapponeer6,157,South Georgia and the South Sandwich Islands,95
7,Barbette,,bcrosfield7@weather.com,female,animate weapon,Guardian,bmargarson7,439,Nicaragua,89
8,Adiana,Kissock,akissock8@pcworld.com,female,arctic armour,Slayer,akissock8,233,Tajikistan,63
9,Patty,,pdelion9@hugedomains.com,female,arctic armour,Trickster,pheeron9,16,Djibouti,72
10,Stanfield,Minifie,sminifiea@list-manage.com,female,barrage,Champion,sminifiea,354,Russia,45
11,Lotti,Fochs,lfochsb@lycos.com,female,barrage,Gladiator,lfochsb,163,Guam,77
12,Gordon,Dradey,gdradeyc@miitbeian.gov.cn,female,barrage,Hierophant,gdradeyc,423,Kenya,49
13,Ivy,,igregrd@google.es,female,barrage,Ascendant,ipimlockd,310,Haiti,64
14,Hale,Rowlson,hrowlsone@exblog.jp,female,barrage,Guardian,hrowlsone,370,Greece,59
15,Northrup,,nskitralf@ibm.com,female,animate weapon,Gladiator,nhabardf,301,North Korea,91
16,Cleo,,clucianog@dot.gov,female,arctic armour,Juggernaut,ceasmang,48,Vietnam,98
17,Sherwynd,Boffey,sboffeyh@lycos.com,female,barrage,Slayer,sboffeyh,315,Bhutan,13
18,Paige,Bucke,pbuckei@ustream.tv,female,barrage,Chieftain,pbuckei,385,Thailand,93
19,Keary,,krainsdonj@mapy.cz,female,animate weapon,Gladiator,kwevellj,323,Canada,13
20,Tarrance,Rait,traitk@ehow.com,female,barrage,Hierophant,traitk,286,Haiti,98
21,Antone,,adeluzel@mediafire.com,female,arctic armour,Juggernaut,agoulterl,78,Finland,60
22,,Tidey,rtideym@oaic.gov.au,female,barrage,Chieftain,ktideym,60,Zimbabwe,40
23,Sheela,,sredfearnn@nationalgeographic.com,female,arctic armour,Saboteur,selkingtonn,148,Moldova,22
24,Selma,Alven,salveno@themeforest.net,female,animate weapon,Inquisitor,salveno,384,Venezuela,57
25,Magdalen,Kennaird,mkennairdp@mail.ru,female,arctic armour,Pathfinder,mkennairdp,264,Myanmar,5
26,Ilene,Metheringham,imetheringhamq@domainmarket.com,female,barrage,Necromancer,imetheringhamq,434,Venezuela,45
27,Karlene,Bezemer,kbezemerr@digg.com,female,animate weapon,Guardian,kbezemerr,44,Eritrea,5
28,,Kearns,jkearnss@amazon.com,female,barrage,Elementalist,skearnss,59,Pakistan,11
29,Hendrik,Baterip,hbateript@google.cn,female,arctic armour,Inquisitor,hbateript,347,Denmark,5
30,Daile,Qusklay,dqusklayu@chicagotribune.com,female,arctic armour,Slayer,dqusklayu,103,Cyprus,37
31,Jeanna,,jwhearv@163.com,female,barrage,Chieftain,jbainesv,228,Mexico,87
32,Rosamund,Matelaitis,rmatelaitisw@webeden.co.uk,female,animate weapon,Raider,rmatelaitisw,322,Belize,71
33,Celia,Fellenor,cfellenorx@nps.gov,female,barrage,Gladiator,cfellenorx,133,Paraguay,45
34,Dacey,,dcassiey@ihg.com,female,barrage,Guardian,dbrienty,333,Iran,97
35,Eben,,ecavanz@t.co,female,arctic armour,Occultist,evanderhoevenz,390,Colombia,37
36,Mordy,Shelly,mshelly10@wufoo.com,female,animate weapon,Ascendant,mshelly10,60,Bangladesh,27
37,Brook,Severwright,bseverwright11@constantcontact.com,female,arctic armour,Inquisitor,bseverwright11,214,Paraguay,55
38,Jacquette,Pettet,jpettet12@shinystat.com,female,arctic armour,Pathfinder,jpettet12,416,Tajikistan,65
39,Roberto,,rwhickman13@cornell.edu,female,barrage,Slayer,rmcmanaman13,124,Philippines,42
40,Mathilda,Scintsbury,mscintsbury14@shutterfly.com,female,animate weapon,Assassin,mscintsbury14,429,Albania,43
41,Bancroft,,bball15@ihg.com,female,arctic armour,Berserker,bmarrington15,362,Uganda,85
42,Bengt,Shory,bshory16@apple.com,female,barrage,Slayer,bshory16,173,Nepal,58
43,Laina,,lscoyne17@independent.co.uk,female,barrage,Hierophant,lennew17,364,Israel,41
44,,Citrine,jcitrine18@usnews.com,female,animate weapon,Hierophant,jcitrine18,54,Haiti,80
45,,Kenforth,tkenforth19@printfriendly.com,female,arctic armour,Necromancer,kkenforth19,312,Iraq,83
46,Brigid,,bhardiman1a@wired.com,female,animate weapon,Saboteur,bguisot1a,395,Netherlands,81
47,Gusty,Jerger,gjerger1b@toplist.cz,female,barrage,Juggernaut,gjerger1b,335,Guam,84
48,,Nenci,rnenci1c@cisco.com,female,barrage,Assassin,jnenci1c,184,South Georgia and the South Sandwich Islands,96
49,,Pennycook,zpennycook1d@linkedin.com,female,barrage,Gladiator,ppennycook1d,111,Dominican Republic,80
50,Niel,,ngorelli1e@digg.com,female,arctic armour,Pathfinder,nsouten1e,362,Azerbaijan,2
51,Buddy,Padwick,bpadwick1f@baidu.com,female,barrage,Deadeye,bpadwick1f,30,Bulgaria,51
52,Jamison,Itzkin,jitzkin1g@tinypic.com,female,barrage,Trickster,jitzkin1g,283,Colombia,79
53,Cathe,,ctoomer1h@networkadvertising.org,female,animate weapon,Slayer,cbusek1h,413,Pakistan,56
54,,,vwitter1i@163.com,female,barrage,Berserker,dbeatty1i,99,Ivory Coast,30
55,Christabella,Kem,ckem1j@aol.com,female,barrage,Assassin,ckem1j,365,Bhutan,96
56,Pam,Cavolini,pcavolini1k@geocities.com,female,animate weapon,Elementalist,pcavolini1k,90,Denmark,95
